Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.380700	0.183600	0.111800	0.108100	
2.000000	0.533900	0.198400	0.083000	0.090300	
3.000000	0.584500	0.234300	0.102300	0.111300	
4.000000	0.692500	0.292800	0.119000	0.133100	
5.000000	0.592300	0.218600	0.074000	0.086700	
6.000000	0.728600	0.297800	0.101400	0.117200	
7.000000	0.735400	0.316100	0.117600	0.127000	
8.000000	0.683500	0.270200	0.090500	0.098900	
9.000000	0.778500	0.353600	0.121800	0.138200	
10.000000	0.746100	0.336600	0.119400	0.137100	
11.000000	0.804100	0.370800	0.144300	0.161000	
12.000000	0.750700	0.354100	0.146100	0.160100	
13.000000	0.767700	0.331800	0.121000	0.130100	
14.000000	0.768100	0.342000	0.119400	0.138700	
15.000000	0.778900	0.358100	0.122600	0.133500	
16.000000	0.724000	0.311500	0.121500	0.131600	
17.000000	0.803300	0.400800	0.166100	0.177200	
18.000000	0.791100	0.375100	0.130000	0.143800	
19.000000	0.810700	0.389000	0.140400	0.153200	
20.000000	0.787200	0.353800	0.119200	0.135000	
21.000000	0.789400	0.358200	0.126400	0.137000	
22.000000	0.799700	0.363600	0.129000	0.140600	
23.000000	0.828300	0.389600	0.130600	0.145500	
24.000000	0.814000	0.401700	0.155600	0.160700	
25.000000	0.813600	0.346400	0.100900	0.112300	
26.000000	0.719300	0.293500	0.103300	0.116800	
27.000000	0.793500	0.376300	0.145400	0.156200	
28.000000	0.832800	0.408000	0.166700	0.180100	
29.000000	0.836300	0.416000	0.153100	0.162600	
30.000000	0.770700	0.351700	0.145000	0.149400	
31.000000	0.790300	0.323400	0.101900	0.107900	
32.000000	0.845400	0.434300	0.167900	0.184800	
33.000000	0.839800	0.407100	0.133700	0.144300	
34.000000	0.832600	0.417300	0.165300	0.178100	
35.000000	0.832900	0.387100	0.127700	0.137000	
36.000000	0.777200	0.359200	0.155100	0.164100	
37.000000	0.802600	0.372500	0.131500	0.140600	
38.000000	0.816500	0.403500	0.152400	0.163100	
39.000000	0.807300	0.366900	0.138700	0.140100	
40.000000	0.822600	0.386700	0.150200	0.159600	
41.000000	0.837800	0.406900	0.132400	0.145000	
42.000000	0.785400	0.340400	0.109300	0.114700	
43.000000	0.826000	0.411900	0.152200	0.162700	
44.000000	0.815800	0.384200	0.135400	0.145300	
45.000000	0.829900	0.422800	0.161200	0.173300	
46.000000	0.807500	0.387900	0.128500	0.145500	
47.000000	0.800400	0.352700	0.105300	0.108200	
48.000000	0.778200	0.388900	0.156000	0.164000	
49.000000	0.830400	0.411000	0.142100	0.150400	
50.000000	0.841900	0.396900	0.116100	0.123500	
51.000000	0.835800	0.471800	0.223200	0.234400	
52.000000	0.816800	0.457000	0.214500	0.233300	
53.000000	0.824300	0.469500	0.218000	0.225800	
54.000000	0.838100	0.441800	0.192900	0.201200	
55.000000	0.827000	0.441300	0.188300	0.202500	
56.000000	0.818600	0.462500	0.226300	0.237000	
57.000000	0.802100	0.420500	0.191200	0.207700	
58.000000	0.837400	0.447000	0.203200	0.213200	
59.000000	0.835200	0.468900	0.214000	0.225600	
60.000000	0.877300	0.532300	0.264800	0.275900	
61.000000	0.877800	0.534300	0.267900	0.278500	
62.000000	0.878700	0.532500	0.266100	0.275600	
63.000000	0.878300	0.536200	0.271400	0.284800	
64.000000	0.881400	0.534800	0.271600	0.284300	
65.000000	0.881000	0.536600	0.269700	0.279800	
66.000000	0.881300	0.535600	0.265100	0.277800	
67.000000	0.885500	0.537700	0.272300	0.285900	
68.000000	0.882900	0.536600	0.273400	0.287200	
69.000000	0.886100	0.533900	0.269600	0.280200	
70.000000	0.885700	0.532500	0.262700	0.274400	
71.000000	0.882500	0.538700	0.270300	0.285100	
72.000000	0.883800	0.536000	0.269600	0.281400	
73.000000	0.886400	0.535100	0.261500	0.275700	
74.000000	0.886400	0.537700	0.261500	0.276000	
75.000000	0.880200	0.534700	0.264700	0.276100	
76.000000	0.883700	0.530700	0.264900	0.278400	
77.000000	0.885600	0.538600	0.271000	0.281500	
78.000000	0.883700	0.532500	0.262100	0.277800	
